Sexe;Etat Civil;Service;Contrat;Date naissance;id salarié (Salaries);Prénom/Nom;Enfants;Telephone
F;Marié;Compta Finances;CDI;01/03/1965;16230718-4297;Alexandra Auguste;1;629910592
F;;Consultant;CDI;02/09/1963;16130305-6954;Marie-Claire Besnard;1;685888970
F;Marié;Commercial;CDI;02/04/1959;16360125-5924;Marie Berengar;3;624840475
F;Célibataire;Commercial;CDI;19/11/1968;16050619-6252;Sonia Corne;2;621667514
F;;Commercial;CDI;06/10/1974;16031007-1667;Jennifer Suchet;0;646504743
F;;Commercial;CDI;04/02/1965;16931211-0175;Agnès Balzac;3;633188679
F;;Marketing;CDI;19/06/1977;16680515-6269;Annette Badeaux;2;611798842
F;Célibataire;RH;CDI;29/06/1962;16170623-3887;Magali Duverger;2;639334116
F;;RH;CDI;19/03/1984;16741025-9738;Nancy Beaux;2;695352978
F;;RH;CDI;06/11/1969;16181217-7101;Claire Robineau;2;607822946
F;Marié;Consultant;CDI;10/08/1968;16720411-0782;Amanda Cochet;2;677225931
F;Marié;Commercial;CDI;18/08/1968;16910501-3081;Alexia Guilbert;0;631441975
F;;Commercial;CDI;19/07/1970;16110307-6129;Romane Bocuse;3;687866794
F;Marié;Compta Finances;CDI;05/08/1968;16460901-9957;Rachelle Allais;0;657167943
F;;RH;CDI;19/01/1970;16981206-3817;Flora Lajoie;1;651981019
F;;Marketing;CDI;07/12/1958;16000206-8278;Pascale Duclos;2;677289138
F;;Compta Finances;CDI;16/10/1974;16181114-4680;Caro Renou;0;695337734
F;Célibataire;Consultant;CDI;16/11/1976;16661124-0695;Peggy Brousseau;0;653605903
F;Célibataire;RH;CDI;19/08/1973;16020327-1465;Marie-Claire Bachelet;3;609243379
F;Célibataire;Commercial;CDI;11/04/1978;16611004-8219;Alix Trudeau;2;664852106
F;Marié;Commercial;CDI;04/01/1965;16340806-9395;Marie-Paule Féret;0;602281793
F;Célibataire;Compta Finances;CDI;07/09/1966;16310403-3810;Solenne Delsarte;0;616694713
F;;R&D;CDI;26/02/1971;16810204-2564;Hélène Longchambon;1;643686564
F;Célibataire;Consultant;CDI;17/10/1964;16081120-1045;Alizée Bourseiller;3;643478570
F;;RH;CDI;20/07/1981;16100329-5753;Inès Bruneau;1;633320459
F;Marié;RH;CDI;21/03/1956;16050407-7405;Charlotte Lémery;1;677309980
F;;Compta Finances;CDI;10/08/1957;16840316-2442;Janine Trouvé;1;649052596
F;;RH;CDI;07/04/1955;16940521-7028;Marguerite Crépin;2;669581343
F;;Consultant;CDI;31/03/1968;16681012-6406;Roberte Charrier;2;633304653
F;Marié;Commercial;CDI;12/07/1962;16660922-3489;Joséphine Clair;1;672356573
F;Célibataire;Compta Finances;CDI;23/04/1987;16891227-4985;Valentine Berengar;0;681881069
F;;Compta Finances;CDI;10/08/1984;16360616-0509;Esther Plessis;2;659594210
F;Marié;Consultant;CDI;05/12/1975;16770513-2772;Valentine Lozé;3;623326572
F;Célibataire;Consultant;CDI;15/08/1970;16920219-1855;Annette Micheaux;3;667982744
F;Célibataire;Marketing;CDI;28/05/1983;16810230-7785;Yseult Chagnon;3;639262801
